Origin,Acc_exponential,Acc_cumulative
110604017,302175.4183396817,547002
110605001,256870.6734644981,542208
110605002,258066.2573368537,543043
110605003,256327.1939194216,542208
110605004,250357.43303447778,534119
110605005,257401.49559481695,541384
110605006,245053.97727977624,523415
110605007,251703.49832992363,535126
110605008,250452.84724611542,532073
110605009,262623.40521407843,545796
110605010,251197.392435744,531224
110605011,271624.3254620833,547002
110605012,248854.07180799954,527825
110605013,241806.4713140631,519299
110605014,251486.94032357188,537367
110605015,262782.97826457996,543659
110605016,262656.01292500464,543963
110605017,271429.15276205825,546647
110605018,267198.84212579264,545145
110605019,261135.8773043014,543659
110605020,260497.29370189414,542991
110605021,263708.3817542806,544747
110605022,270077.63183601486,545818
110606001,286747.60076987295,547002
110606002,285617.8979455792,547002
110606003,297849.7042277164,547002
110606004,281353.6790889145,547002
110606005,284703.69552616717,547002
110606006,282091.62357003504,547002
110606007,287381.89985423425,547002
110606008,287368.3218963189,547002
110606009,283176.26569040486,547002
110606010,279261.2467537742,547002
110606011,286744.06905329897,547002
110606012,283121.5049529845,547002
110606013,284213.390439984,547002
110606014,269773.76173636044,546461
110606015,255519.74814715242,546461
110606016,283064.8012305933,547002
110606017,272261.6171723716,546461
110606018,270496.6754747563,546461
110606019,259928.3096472676,546461
110607001,287004.3021917641,546461
110607002,292468.38176905864,546461
110607003,295403.1035305332,546461
110607004,283041.03261899797,546461
110607005,299253.5438552768,547002
110607006,283833.33378421084,546461
110607007,291771.5818241888,546461
110607008,294338.96598092606,546461
110607009,297055.1653841733,547002
110607010,286439.0280822492,546461
110607011,288570.61302460363,546461
110607012,280265.06104394933,545659
110607013,288677.5590883271,546461
110607014,272262.9336122307,544938
110607015,289730.97549641633,546461
110607016,267039.1251908432,543719
110607017,276694.1473337442,545659
110607018,260832.096696705,542687
110607019,260242.08597479173,545140
110607020,272697.2092439364,545142
110607021,258315.74859520458,538433
110607022,270706.01465903176,544340
110607023,263515.1275599144,543016
110607024,268104.7939171943,544395
110608001,267335.3682808617,545575
110608002,268660.61643959413,545919
110608003,267800.4143514257,544471
110608004,270534.3187920553,545575
110608005,265213.8570330475,545575
110608006,278124.6060549057,547002
110608007,269048.35905420413,545575
110608008,270099.061744858,545919
110608009,266300.43393483607,545575
110608010,275566.3151092705,546651
110608011,262361.4286239599,543773
110608012,279503.8852431319,547002
110608013,267868.52287524205,544788
110608014,265258.54747250833,545154
110608015,256673.37230847112,538520
110608016,270926.65194991586,546274
110608017,265602.0662505976,543773
110608018,287576.9035492736,547002
110608019,274856.10336909164,546651
110608020,264656.30676287046,543773
110608021,261501.013121114,542811
110608022,268573.1978608644,545919
110608023,264536.89563603146,543441
110608024,272633.64818244905,546274
110608025,258077.8466862688,541321
110608026,252975.47534379325,535516
110608027,256701.05204987546,543441
110608028,278002.6380372528,547002
110608029,261588.8215725891,543112
110608030,269265.05565877404,545575
110608031,258454.46700612947,540111
110608032,262307.13042135007,542811
110608033,273181.71685213957,546651
110608034,274013.6530755269,547326
110608035,265717.71478154394,544825
110608036,269039.09104991547,545575
110608037,272770.05873244005,545575
110608038,259097.11872256783,543078
110608039,259579.33842116978,543833
110608040,281408.5676220862,547326
110608041,267594.8880726118,545575
110608042,272756.39217960916,546651
110608043,276334.243056716,546949
110608044,272231.8400739886,546274
110608045,262547.8219279622,544459
110608046,275671.66918214754,546949
110608047,274663.88009700074,546274
110608048,274916.34883633605,547677
110608049,261712.22046656974,544142
110608050,286093.1981211478,547733
110608051,288224.9109424964,547733
110608052,282185.66945026245,547733
110608053,282647.97083787806,547733
110608054,268705.77109428914,545575
110608055,276078.32091415406,547005
110608056,291961.7014784497,547733
110608057,279902.5959104137,547733
110608058,289330.10842512536,547733
110608059,253661.33711426993,535454
110608060,281060.3176577218,547733
110608061,270783.5988578089,547050
110608062,276375.83471856645,547733
110608063,275133.3033400472,547733
110608064,272459.4535566313,547733
110608065,269886.9101272701,547733
110608066,256864.13298126313,546771
110609001,299545.2226756918,547002
110609002,289136.47323658713,547733
110609003,302394.4470720047,547002
110609004,301615.8725502366,547733
110609005,310410.08321572165,547002
110609006,302144.8226844572,547733
110609007,299124.3111272238,547002
110609008,296245.9307817955,547002
110609009,307521.63502031827,547002
110609010,313807.66380595916,547733
110609011,306915.04040435574,547002
