Destination_Code,Residents
110633036,680
110633037,767
110633038,600
110633039,306
110633040,484
110633041,658
110633042,567
110633043,874
110633044,571
110633045,685
110633046,572
110633047,411
110633048,508
110633049,683
110633050,572
110633051,971
110633052,681
110633053,700
110633054,601
110633055,669
110633056,745
110633057,654
110633058,735
110633059,550
110633060,713
110633061,816
110633062,376
110633063,832
110633064,562
110633065,687
110633066,532
110633067,375
110633068,861
110633069,696
110633070,467
110633071,781
110633072,640
110633073,635
110633074,543
110633075,525
110633076,617
110633077,508
110633078,379
110633079,660
110633080,534
110633081,605
110634001,297
110634002,322
110635001,397
110635002,675
110635003,192
110635004,371
110635005,402
110635006,559
110635007,418
110635008,295
110635009,401
110635010,425
110635011,467
110635012,619
110635013,435
110635014,515
110635015,469
110635016,467
110635017,419
110635018,568
110635019,585
110635020,581
110635021,382
110635022,420
110635023,487
110635024,392
110635025,647
110635026,506
110635027,630
110635028,749
110635029,468
110635030,534
110635031,302
110635032,480
110636001,329
110636002,332
110636003,344
110636004,205
110636005,301
110637001,572
110637002,480
110637003,528
110637004,463
110637005,476
110637006,473
110637007,456
110637008,572
110638001,322
110638002,351
110638003,377
110638004,291
110639001,369
110639002,714
110639003,477
110639004,534
110639005,997
110639006,541
110639007,1138
110639008,318
110639009,1140
110639010,437
110639011,523
110639012,535
110639013,1139
110639014,338
110639015,488
110639016,896
110639017,455
110639018,683
110639019,568
110639020,619
110639021,848
110639022,495
110639023,436
110639024,312
110639025,1029
110639026,613
110639027,618
110639028,123
110639029,37
110639030,710
110639031,615
110639032,125
110639033,752
110639034,625
110639035,600
110639036,471
110639037,583
110639038,467
110639039,318
110639040,740
110639041,419
110639042,304
110639043,788
110639044,424
110639045,437
110639046,607
110639047,331
110639048,405
110639049,397
110639050,515
110639051,471
110639052,416
110639053,345
110639054,646
110639055,159
110639056,415
110639057,404
110639058,533
110639059,726
110639060,751
110639061,409
110639062,417
110640001,501
110640002,635
110640003,490
110640004,820
110640005,557
110640006,603
110640007,349
110640008,722
110640009,676
110640010,712
110640011,643
110640012,663
110640013,649
110641001,542
110641002,399
110641003,550
